Generated by Rfunction:  Get.alv.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS92
RS_config:      2.02
RS_serialnum:   G3043154
RS_freq:        405.3
RS__windtype:   ccGPS
=============> Station_info:
Station:        ALVICE_RS92SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       53
SW version:     MW41 2.2.0
Start time:     2020-01-23 06:46:40
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	        xx         NA
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
1014.48  -9999.    246.31 6.26e+00      2.21      8.48       6807.1    428.78    219.61 6.19e-02     255.42      8.76  -9999.  -9999.  -9999.   -76.8532    39.0912  -9999.  -9999.  -9999.
1015.48  -9999.    246.27 6.35e+00      2.17      8.52       6814.6    428.34    219.70 6.26e-02     255.68      8.79  -9999.  -9999.  -9999.   -76.8531    39.0912  -9999.  -9999.  -9999.
1016.48  -9999.    246.21 6.45e+00      2.14      8.56       6822.1    427.89    219.79 6.34e-02     255.94      8.82  -9999.  -9999.  -9999.   -76.8531    39.0912  -9999.  -9999.  -9999.
1017.48  -9999.    246.15 6.56e+00      2.11      8.60       6829.4    427.45    219.88 6.41e-02     256.19      8.86  -9999.  -9999.  -9999.   -76.8530    39.0912  -9999.  -9999.  -9999.
1018.48  -9999.    246.08 6.67e+00      2.09      8.64       6836.6    427.03    219.97 6.48e-02     256.43      8.89  -9999.  -9999.  -9999.   -76.8529    39.0913  -9999.  -9999.  -9999.
1019.48  -9999.    246.02 6.77e+00      2.06      8.68       6843.3    426.63    220.04 6.55e-02     256.67      8.92  -9999.  -9999.  -9999.   -76.8528    39.0913  -9999.  -9999.  -9999.
1020.48  -9999.    245.96 6.85e+00      2.03      8.72       6849.8    426.25    220.10 6.59e-02     256.91      8.96  -9999.  -9999.  -9999.   -76.8527    39.0914  -9999.  -9999.  -9999.
1021.48  -9999.    245.91 6.90e+00      2.00      8.77       6856.0    425.88    220.12 6.61e-02     257.14      8.99  -9999.  -9999.  -9999.   -76.8525    39.0915  -9999.  -9999.  -9999.
1022.48  -9999.    245.85 6.93e+00      1.98      8.81       6862.4    425.50    220.11 6.62e-02     257.37      9.03  -9999.  -9999.  -9999.   -76.8524    39.0915  -9999.  -9999.  -9999.
1023.48  -9999.    245.78 6.94e+00      1.95      8.86       6869.1    425.11    220.08 6.60e-02     257.57      9.08  -9999.  -9999.  -9999.   -76.8522    39.0915  -9999.  -9999.  -9999.
1024.48  -9999.    245.71 6.95e+00      1.93      8.92       6876.3    424.68    220.02 6.56e-02     257.76      9.12  -9999.  -9999.  -9999.   -76.8521    39.0915  -9999.  -9999.  -9999.
1025.48  -9999.    245.65 6.94e+00      1.92      8.97       6883.8    424.24    219.96 6.52e-02     257.91      9.18  -9999.  -9999.  -9999.   -76.8520    39.0915  -9999.  -9999.  -9999.
1026.48  -9999.    245.58 6.93e+00      1.91      9.03       6891.3    423.79    219.90 6.48e-02     258.05      9.23  -9999.  -9999.  -9999.   -76.8519    39.0915  -9999.  -9999.  -9999.
1027.48  -9999.    245.52 6.93e+00      1.90      9.09       6898.6    423.37    219.85 6.45e-02     258.17      9.28  -9999.  -9999.  -9999.   -76.8518    39.0915  -9999.  -9999.  -9999.
1028.48  -9999.    245.46 6.92e+00      1.90      9.15       6905.5    422.96    219.79 6.41e-02     258.28      9.34  -9999.  -9999.  -9999.   -76.8518    39.0915  -9999.  -9999.  -9999.
1029.48  -9999.    245.41 6.91e+00      1.89      9.21       6912.3    422.56    219.74 6.38e-02     258.39      9.40  -9999.  -9999.  -9999.   -76.8517    39.0916  -9999.  -9999.  -9999.
1030.48  -9999.    245.36 6.89e+00      1.89      9.28       6918.9    422.17    219.68 6.34e-02     258.49      9.47  -9999.  -9999.  -9999.   -76.8517    39.0916  -9999.  -9999.  -9999.
1031.48  -9999.    245.32 6.86e+00      1.89      9.34       6925.6    421.78    219.60 6.29e-02     258.57      9.53  -9999.  -9999.  -9999.   -76.8516    39.0916  -9999.  -9999.  -9999.
1032.48  -9999.    245.29 6.81e+00      1.90      9.42       6932.4    421.37    219.52 6.23e-02     258.61      9.61  -9999.  -9999.  -9999.   -76.8515    39.0916  -9999.  -9999.  -9999.
1033.48  -9999.    245.26 6.78e+00      1.91      9.49       6939.5    420.96    219.47 6.20e-02     258.62      9.68  -9999.  -9999.  -9999.   -76.8514    39.0916  -9999.  -9999.  -9999.
1034.48  -9999.    245.24 6.83e+00      1.93      9.57       6946.9    420.53    219.51 6.24e-02     258.60      9.76  -9999.  -9999.  -9999.   -76.8512    39.0916  -9999.  -9999.  -9999.
1035.48  -9999.    245.22 6.98e+00      1.95      9.64       6954.4    420.09    219.68 6.37e-02     258.57      9.84  -9999.  -9999.  -9999.   -76.8510    39.0916  -9999.  -9999.  -9999.
1036.48  -9999.    245.19 7.18e+00      1.97      9.72       6961.9    419.65    219.89 6.54e-02     258.53      9.92  -9999.  -9999.  -9999.   -76.8509    39.0916  -9999.  -9999.  -9999.
1037.48  -9999.    245.16 7.34e+00      1.99      9.80       6969.0    419.23    220.05 6.67e-02     258.50     10.00  -9999.  -9999.  -9999.   -76.8507    39.0916  -9999.  -9999.  -9999.
1038.48  -9999.    245.10 7.43e+00      2.01      9.88       6976.1    418.82    220.12 6.73e-02     258.47     10.08  -9999.  -9999.  -9999.   -76.8506    39.0917  -9999.  -9999.  -9999.
1039.48  -9999.    245.04 7.47e+00      2.03      9.95       6983.5    418.39    220.11 6.73e-02     258.46     10.16  -9999.  -9999.  -9999.   -76.8505    39.0917  -9999.  -9999.  -9999.
1040.48  -9999.    244.97 7.47e+00      2.05     10.02       6991.2    417.94    220.06 6.70e-02     258.44     10.23  -9999.  -9999.  -9999.   -76.8504    39.0918  -9999.  -9999.  -9999.
1041.48  -9999.    244.90 7.46e+00      2.07     10.09       6999.1    417.48    219.99 6.65e-02     258.43     10.30  -9999.  -9999.  -9999.   -76.8504    39.0918  -9999.  -9999.  -9999.
1042.48  -9999.    244.84 7.44e+00      2.08     10.16       7006.8    417.03    219.92 6.60e-02     258.42     10.37  -9999.  -9999.  -9999.   -76.8503    39.0918  -9999.  -9999.  -9999.
1043.48  -9999.    244.79 7.42e+00      2.09     10.22       7014.3    416.60    219.86 6.56e-02     258.43     10.43  -9999.  -9999.  -9999.   -76.8502    39.0918  -9999.  -9999.  -9999.
1044.48  -9999.    244.73 7.42e+00      2.10     10.28       7021.6    416.17    219.81 6.53e-02     258.45     10.50  -9999.  -9999.  -9999.   -76.8501    39.0918  -9999.  -9999.  -9999.
1045.48  -9999.    244.68 7.43e+00      2.11     10.35       7028.9    415.75    219.78 6.51e-02     258.48     10.56  -9999.  -9999.  -9999.   -76.8499    39.0917  -9999.  -9999.  -9999.
1046.48  -9999.    244.62 7.47e+00      2.11     10.40       7036.1    415.33    219.78 6.52e-02     258.53     10.61  -9999.  -9999.  -9999.   -76.8497    39.0918  -9999.  -9999.  -9999.
1047.48  -9999.    244.56 7.53e+00      2.11     10.46       7043.2    414.91    219.80 6.54e-02     258.60     10.67  -9999.  -9999.  -9999.   -76.8495    39.0918  -9999.  -9999.  -9999.
1048.48  -9999.    244.50 7.63e+00      2.10     10.50       7050.4    414.50    219.87 6.60e-02     258.70     10.71  -9999.  -9999.  -9999.   -76.8494    39.0919  -9999.  -9999.  -9999.
1049.48  -9999.    244.44 7.77e+00      2.09     10.55       7057.8    414.07    219.97 6.68e-02     258.81     10.75  -9999.  -9999.  -9999.   -76.8493    39.0920  -9999.  -9999.  -9999.
1050.48  -9999.    244.36 7.94e+00      2.07     10.58       7065.8    413.61    220.10 6.79e-02     258.93     10.79  -9999.  -9999.  -9999.   -76.8492    39.0920  -9999.  -9999.  -9999.
1051.48  -9999.    244.28 8.17e+00      2.05     10.62       7074.1    413.13    220.27 6.94e-02     259.08     10.82  -9999.  -9999.  -9999.   -76.8492    39.0920  -9999.  -9999.  -9999.
1052.48  -9999.    244.19 8.46e+00      2.03     10.65       7082.1    412.67    220.49 7.13e-02     259.23     10.84  -9999.  -9999.  -9999.   -76.8490    39.0920  -9999.  -9999.  -9999.
1053.48  -9999.    244.11 8.80e+00      2.00     10.68       7089.1    412.26    220.78 7.38e-02     259.39     10.87  -9999.  -9999.  -9999.   -76.8489    39.0920  -9999.  -9999.  -9999.
1054.48  -9999.    244.05 9.19e+00      1.97     10.72       7095.2    411.91    221.10 7.67e-02     259.56     10.90  -9999.  -9999.  -9999.   -76.8487    39.0920  -9999.  -9999.  -9999.
1055.48  -9999.    244.00 9.68e+00      1.95     10.75       7101.0    411.58    221.51 8.05e-02     259.73     10.93  -9999.  -9999.  -9999.   -76.8485    39.0920  -9999.  -9999.  -9999.
1056.48  -9999.    243.96 1.04e+01      1.92     10.79       7106.9    411.23    222.11 8.63e-02     259.89     10.96  -9999.  -9999.  -9999.   -76.8484    39.0921  -9999.  -9999.  -9999.
1057.48  -9999.    243.91 1.16e+01      1.90     10.83       7113.3    410.87    222.98 9.54e-02     260.04     10.99  -9999.  -9999.  -9999.   -76.8483    39.0921  -9999.  -9999.  -9999.
1058.48  -9999.    243.86 1.33e+01      1.88     10.87       7120.0    410.49    224.15 1.09e-01     260.18     11.03  -9999.  -9999.  -9999.   -76.8482    39.0922  -9999.  -9999.  -9999.
1059.48  -9999.    243.82 1.57e+01      1.87     10.91       7126.8    410.09    225.64 1.29e-01     260.30     11.07  -9999.  -9999.  -9999.   -76.8481    39.0922  -9999.  -9999.  -9999.
1060.48  -9999.    243.78 1.89e+01      1.85     10.96       7133.8    409.69    227.29 1.55e-01     260.41     11.12  -9999.  -9999.  -9999.   -76.8480    39.0922  -9999.  -9999.  -9999.
1061.48  -9999.    243.75 2.24e+01      1.84     11.01       7140.8    409.29    228.82 1.83e-01     260.49     11.16  -9999.  -9999.  -9999.   -76.8479    39.0921  -9999.  -9999.  -9999.
1062.48  -9999.    243.70 2.59e+01      1.84     11.06       7147.8    408.89    230.11 2.10e-01     260.55     11.22  -9999.  -9999.  -9999.   -76.8478    39.0921  -9999.  -9999.  -9999.
1063.48  -9999.    243.64 2.90e+01      1.85     11.12       7155.1    408.47    231.13 2.34e-01     260.58     11.28  -9999.  -9999.  -9999.   -76.8476    39.0921  -9999.  -9999.  -9999.
1064.48  -9999.    243.57 3.14e+01      1.86     11.19       7162.4    408.05    231.83 2.52e-01     260.58     11.34  -9999.  -9999.  -9999.   -76.8475    39.0921  -9999.  -9999.  -9999.
1065.48  -9999.    243.50 3.28e+01      1.87     11.26       7169.4    407.65    232.20 2.63e-01     260.55     11.41  -9999.  -9999.  -9999.   -76.8473    39.0921  -9999.  -9999.  -9999.
1066.48  -9999.    243.45 3.34e+01      1.90     11.34       7176.3    407.26    232.33 2.67e-01     260.49     11.49  -9999.  -9999.  -9999.   -76.8472    39.0922  -9999.  -9999.  -9999.
1067.48  -9999.    243.41 3.34e+01      1.93     11.42       7183.1    406.87    232.28 2.65e-01     260.40     11.58  -9999.  -9999.  -9999.   -76.8470    39.0922  -9999.  -9999.  -9999.
1068.48  -9999.    243.37 3.28e+01      1.97     11.51       7189.8    406.49    232.07 2.60e-01     260.29     11.68  -9999.  -9999.  -9999.   -76.8469    39.0922  -9999.  -9999.  -9999.
1069.48  -9999.    243.34 3.17e+01      2.01     11.60       7196.0    406.13    231.71 2.51e-01     260.15     11.78  -9999.  -9999.  -9999.   -76.8468    39.0923  -9999.  -9999.  -9999.
1070.48  -9999.    243.30 3.02e+01      2.07     11.70       7202.0    405.79    231.24 2.39e-01     259.99     11.88  -9999.  -9999.  -9999.   -76.8467    39.0922  -9999.  -9999.  -9999.
1071.48  -9999.    243.26 2.86e+01      2.12     11.80       7208.2    405.44    230.66 2.25e-01     259.81     11.99  -9999.  -9999.  -9999.   -76.8467    39.0923  -9999.  -9999.  -9999.
1072.48  -9999.    243.22 2.67e+01      2.18     11.90       7214.8    405.06    229.98 2.09e-01     259.60     12.09  -9999.  -9999.  -9999.   -76.8466    39.0923  -9999.  -9999.  -9999.
1073.48  -9999.    243.17 2.48e+01      2.25     11.99       7221.8    404.66    229.24 1.94e-01     259.38     12.20  -9999.  -9999.  -9999.   -76.8465    39.0923  -9999.  -9999.  -9999.
1074.48  -9999.    243.12 2.28e+01      2.32     12.09       7229.0    404.25    228.44 1.78e-01     259.14     12.31  -9999.  -9999.  -9999.   -76.8463    39.0923  -9999.  -9999.  -9999.
1075.48  -9999.    243.08 2.09e+01      2.39     12.18       7236.3    403.84    227.58 1.62e-01     258.90     12.41  -9999.  -9999.  -9999.   -76.8462    39.0923  -9999.  -9999.  -9999.
1076.48  -9999.    243.04 1.90e+01      2.46     12.27       7243.4    403.44    226.67 1.47e-01     258.65     12.51  -9999.  -9999.  -9999.   -76.8460    39.0924  -9999.  -9999.  -9999.
1077.48  -9999.    243.01 1.70e+01      2.54     12.36       7250.0    403.06    225.65 1.31e-01     258.41     12.61  -9999.  -9999.  -9999.   -76.8458    39.0924  -9999.  -9999.  -9999.
1078.48  -9999.    242.98 1.50e+01      2.61     12.44       7256.3    402.70    224.53 1.16e-01     258.17     12.71  -9999.  -9999.  -9999.   -76.8456    39.0924  -9999.  -9999.  -9999.
1079.48  -9999.    242.96 1.32e+01      2.68     12.52       7262.9    402.33    223.36 1.02e-01     257.94     12.81  -9999.  -9999.  -9999.   -76.8454    39.0925  -9999.  -9999.  -9999.
1080.48  -9999.    242.93 1.18e+01      2.74     12.61       7269.7    401.95    222.31 9.03e-02     257.73     12.90  -9999.  -9999.  -9999.   -76.8453    39.0925  -9999.  -9999.  -9999.
1081.48  -9999.    242.89 1.08e+01      2.81     12.68       7276.5    401.56    221.57 8.30e-02     257.53     12.99  -9999.  -9999.  -9999.   -76.8451    39.0926  -9999.  -9999.  -9999.
1082.48  -9999.    242.84 1.05e+01      2.87     12.75       7282.9    401.20    221.24 8.00e-02     257.34     13.07  -9999.  -9999.  -9999.   -76.8449    39.0926  -9999.  -9999.  -9999.
1083.48  -9999.    242.80 1.04e+01      2.92     12.82       7289.1    400.85    221.12 7.89e-02     257.16     13.15  -9999.  -9999.  -9999.   -76.8447    39.0926  -9999.  -9999.  -9999.
1084.48  -9999.    242.77 1.01e+01      2.98     12.88       7295.2    400.51    220.83 7.64e-02     256.99     13.22  -9999.  -9999.  -9999.   -76.8445    39.0926  -9999.  -9999.  -9999.
1085.48  -9999.    242.74 9.30e+00      3.02     12.93       7301.8    400.14    220.14 7.06e-02     256.85     13.28  -9999.  -9999.  -9999.   -76.8444    39.0926  -9999.  -9999.  -9999.
1086.48  -9999.    242.71 8.14e+00      3.06     12.98       7309.0    399.73    218.98 6.16e-02     256.73     13.34  -9999.  -9999.  -9999.   -76.8442    39.0926  -9999.  -9999.  -9999.
1087.49  -9999.    242.68 6.80e+00      3.09     13.02       7316.5    399.31    217.46 5.14e-02     256.65     13.38  -9999.  -9999.  -9999.   -76.8441    39.0926  -9999.  -9999.  -9999.
1088.48  -9999.    242.63 5.64e+00      3.11     13.06       7324.0    398.89    215.89 4.25e-02     256.60     13.43  -9999.  -9999.  -9999.   -76.8439    39.0926  -9999.  -9999.  -9999.
1089.49  -9999.    242.59 4.93e+00      3.12     13.10       7331.2    398.48    214.77 3.71e-02     256.59     13.47  -9999.  -9999.  -9999.   -76.8438    39.0927  -9999.  -9999.  -9999.
1090.48  -9999.    242.54 4.75e+00      3.13     13.14       7338.3    398.09    214.42 3.55e-02     256.62     13.51  -9999.  -9999.  -9999.   -76.8437    39.0928  -9999.  -9999.  -9999.
1091.48  -9999.    242.49 4.95e+00      3.12     13.18       7345.1    397.70    214.73 3.69e-02     256.67     13.54  -9999.  -9999.  -9999.   -76.8437    39.0928  -9999.  -9999.  -9999.
1092.49  -9999.    242.44 5.41e+00      3.11     13.21       7351.8    397.33    215.40 4.02e-02     256.74     13.57  -9999.  -9999.  -9999.   -76.8436    39.0929  -9999.  -9999.  -9999.
1093.48  -9999.    242.39 6.15e+00      3.09     13.24       7358.6    396.95    216.41 4.55e-02     256.84     13.59  -9999.  -9999.  -9999.   -76.8435    39.0929  -9999.  -9999.  -9999.
1094.49  -9999.    242.34 7.36e+00      3.07     13.26       7365.9    396.54    217.85 5.42e-02     256.97     13.61  -9999.  -9999.  -9999.   -76.8433    39.0930  -9999.  -9999.  -9999.
1095.48  -9999.    242.29 9.14e+00      3.03     13.28       7373.7    396.10    219.62 6.71e-02     257.14     13.62  -9999.  -9999.  -9999.   -76.8432    39.0930  -9999.  -9999.  -9999.
1096.49  -9999.    242.24 1.13e+01      2.98     13.29       7381.4    395.68    221.40 8.27e-02     257.35     13.62  -9999.  -9999.  -9999.   -76.8430    39.0930  -9999.  -9999.  -9999.
1097.48  -9999.    242.19 1.34e+01      2.93     13.30       7388.6    395.28    222.85 9.77e-02     257.59     13.62  -9999.  -9999.  -9999.   -76.8428    39.0931  -9999.  -9999.  -9999.
1098.49  -9999.    242.14 1.52e+01      2.86     13.30       7395.4    394.89    223.88 1.10e-01     257.86     13.61  -9999.  -9999.  -9999.   -76.8425    39.0931  -9999.  -9999.  -9999.
1099.48  -9999.    242.08 1.66e+01      2.79     13.31       7402.3    394.51    224.62 1.20e-01     258.15     13.60  -9999.  -9999.  -9999.   -76.8423    39.0931  -9999.  -9999.  -9999.
1100.49  -9999.    242.01 1.77e+01      2.72     13.31       7409.4    394.11    225.17 1.27e-01     258.44     13.58  -9999.  -9999.  -9999.   -76.8422    39.0931  -9999.  -9999.  -9999.
1101.49  -9999.    241.94 1.87e+01      2.65     13.30       7416.6    393.71    225.60 1.34e-01     258.73     13.57  -9999.  -9999.  -9999.   -76.8420    39.0932  -9999.  -9999.  -9999.
1102.49  -9999.    241.88 1.96e+01      2.58     13.30       7423.7    393.32    225.95 1.39e-01     259.02     13.54  -9999.  -9999.  -9999.   -76.8419    39.0932  -9999.  -9999.  -9999.
1103.49  -9999.    241.83 2.03e+01      2.51     13.28       7431.0    392.92    226.24 1.44e-01     259.32     13.52  -9999.  -9999.  -9999.   -76.8418    39.0932  -9999.  -9999.  -9999.
1104.48  -9999.    241.77 2.09e+01      2.43     13.27       7438.3    392.51    226.44 1.47e-01     259.62     13.49  -9999.  -9999.  -9999.   -76.8417    39.0932  -9999.  -9999.  -9999.
1105.49  -9999.    241.70 2.12e+01      2.36     13.24       7445.5    392.11    226.51 1.48e-01     259.91     13.45  -9999.  -9999.  -9999.   -76.8416    39.0932  -9999.  -9999.  -9999.
1106.49  -9999.    241.63 2.12e+01      2.28     13.21       7452.3    391.74    226.48 1.48e-01     260.20     13.41  -9999.  -9999.  -9999.   -76.8414    39.0932  -9999.  -9999.  -9999.
1107.49  -9999.    241.58 2.11e+01      2.21     13.17       7458.5    391.39    226.38 1.47e-01     260.47     13.36  -9999.  -9999.  -9999.   -76.8412    39.0932  -9999.  -9999.  -9999.
1108.49  -9999.    241.53 2.08e+01      2.15     13.13       7464.8    391.04    226.21 1.44e-01     260.71     13.31  -9999.  -9999.  -9999.   -76.8409    39.0933  -9999.  -9999.  -9999.
1109.49  -9999.    241.50 2.04e+01      2.09     13.08       7471.5    390.67    225.99 1.41e-01     260.92     13.25  -9999.  -9999.  -9999.   -76.8407    39.0933  -9999.  -9999.  -9999.
1110.49  -9999.    241.46 2.03e+01      2.04     13.03       7478.8    390.27    225.90 1.39e-01     261.09     13.19  -9999.  -9999.  -9999.   -76.8405    39.0933  -9999.  -9999.  -9999.
1111.49  -9999.    241.41 2.09e+01      2.01     12.98       7486.4    389.85    226.12 1.43e-01     261.21     13.14  -9999.  -9999.  -9999.   -76.8403    39.0934  -9999.  -9999.  -9999.
1112.49  -9999.    241.35 2.22e+01      1.98     12.93       7493.8    389.44    226.65 1.52e-01     261.30     13.08  -9999.  -9999.  -9999.   -76.8402    39.0934  -9999.  -9999.  -9999.
1113.49  -9999.    241.29 2.42e+01      1.96     12.87       7500.9    389.05    227.36 1.64e-01     261.34     13.02  -9999.  -9999.  -9999.   -76.8401    39.0934  -9999.  -9999.  -9999.
1114.49  -9999.    241.23 2.64e+01      1.95     12.81       7507.4    388.69    228.11 1.78e-01     261.34     12.96  -9999.  -9999.  -9999.   -76.8400    39.0934  -9999.  -9999.  -9999.
1115.49  -9999.    241.17 2.88e+01      1.95     12.75       7513.5    388.36    228.89 1.94e-01     261.28     12.90  -9999.  -9999.  -9999.   -76.8399    39.0934  -9999.  -9999.  -9999.
1116.49  -9999.    241.11 3.16e+01      1.97     12.69       7519.2    388.04    229.70 2.12e-01     261.18     12.84  -9999.  -9999.  -9999.   -76.8398    39.0934  -9999.  -9999.  -9999.
1117.49  -9999.    241.05 3.50e+01      1.99     12.63       7524.8    387.74    230.59 2.33e-01     261.04     12.79  -9999.  -9999.  -9999.   -76.8397    39.0934  -9999.  -9999.  -9999.
1118.49  -9999.    240.99 3.89e+01      2.03     12.58       7530.6    387.42    231.55 2.58e-01     260.84     12.74  -9999.  -9999.  -9999.   -76.8396    39.0934  -9999.  -9999.  -9999.
1119.49  -9999.    240.94 4.36e+01      2.07     12.52       7536.8    387.08    232.59 2.88e-01     260.61     12.69  -9999.  -9999.  -9999.   -76.8395    39.0934  -9999.  -9999.  -9999.
1120.49  -9999.    240.89 4.89e+01      2.12     12.47       7543.4    386.72    233.67 3.22e-01     260.34     12.65  -9999.  -9999.  -9999.   -76.8393    39.0934  -9999.  -9999.  -9999.
1121.49  -9999.    240.86 5.44e+01      2.18     12.42       7550.4    386.33    234.69 3.57e-01     260.04     12.61  -9999.  -9999.  -9999.   -76.8391    39.0934  -9999.  -9999.  -9999.
1122.49  -9999.    240.83 5.97e+01      2.25     12.38       7558.1    385.91    235.58 3.91e-01     259.72     12.58  -9999.  -9999.  -9999.   -76.8389    39.0934  -9999.  -9999.  -9999.
1123.49  -9999.    240.81 6.46e+01      2.31     12.33       7566.2    385.47    236.34 4.23e-01     259.38     12.55  -9999.  -9999.  -9999.   -76.8388    39.0934  -9999.  -9999.  -9999.
1124.49  -9999.    240.80 6.86e+01      2.38     12.30       7574.4    385.02    236.93 4.49e-01     259.03     12.52  -9999.  -9999.  -9999.   -76.8386    39.0935  -9999.  -9999.  -9999.
1125.49  -9999.    240.79 7.13e+01      2.45     12.26       7582.6    384.57    237.30 4.66e-01     258.68     12.50  -9999.  -9999.  -9999.   -76.8385    39.0935  -9999.  -9999.  -9999.
1126.49  -9999.    240.77 7.23e+01      2.53     12.23       7590.9    384.12    237.44 4.73e-01     258.32     12.49  -9999.  -9999.  -9999.   -76.8384    39.0935  -9999.  -9999.  -9999.
1127.49  -9999.    240.74 7.22e+01      2.60     12.21       7599.2    383.67    237.40 4.72e-01     257.97     12.48  -9999.  -9999.  -9999.   -76.8383    39.0936  -9999.  -9999.  -9999.
1128.49  -9999.    240.69 7.16e+01      2.67     12.19       7607.3    383.22    237.27 4.66e-01     257.63     12.48  -9999.  -9999.  -9999.   -76.8382    39.0936  -9999.  -9999.  -9999.
1129.49  -9999.    240.63 7.10e+01      2.74     12.17       7615.2    382.80    237.12 4.60e-01     257.30     12.48  -9999.  -9999.  -9999.   -76.8381    39.0936  -9999.  -9999.  -9999.
1130.49  -9999.    240.59 7.04e+01      2.81     12.16       7622.6    382.39    236.99 4.55e-01     256.98     12.48  -9999.  -9999.  -9999.   -76.8379    39.0937  -9999.  -9999.  -9999.
1131.49  -9999.    240.55 6.98e+01      2.88     12.15       7629.9    382.00    236.87 4.49e-01     256.69     12.49  -9999.  -9999.  -9999.   -76.8377    39.0937  -9999.  -9999.  -9999.
1132.49  -9999.    240.53 6.91e+01      2.93     12.15       7637.3    381.60    236.74 4.44e-01     256.42     12.50  -9999.  -9999.  -9999.   -76.8376    39.0938  -9999.  -9999.  -9999.
1133.49  -9999.    240.50 6.85e+01      2.99     12.15       7644.8    381.19    236.63 4.40e-01     256.19     12.51  -9999.  -9999.  -9999.   -76.8374    39.0939  -9999.  -9999.  -9999.
1134.49  -9999.    240.47 6.80e+01      3.03     12.15       7652.1    380.80    236.53 4.36e-01     256.00     12.52  -9999.  -9999.  -9999.   -76.8372    39.0939  -9999.  -9999.  -9999.
1135.49  -9999.    240.44 6.77e+01      3.07     12.15       7658.9    380.42    236.45 4.33e-01     255.84     12.53  -9999.  -9999.  -9999.   -76.8370    39.0940  -9999.  -9999.  -9999.
1136.49  -9999.    240.42 6.73e+01      3.10     12.16       7665.6    380.06    236.37 4.30e-01     255.71     12.55  -9999.  -9999.  -9999.   -76.8369    39.0940  -9999.  -9999.  -9999.
1137.49  -9999.    240.41 6.69e+01      3.12     12.17       7672.5    379.69    236.30 4.27e-01     255.63     12.56  -9999.  -9999.  -9999.   -76.8368    39.0940  -9999.  -9999.  -9999.
1138.49  -9999.    240.40 6.63e+01      3.13     12.18       7679.9    379.30    236.21 4.24e-01     255.57     12.57  -9999.  -9999.  -9999.   -76.8367    39.0939  -9999.  -9999.  -9999.
1139.49  -9999.    240.38 6.55e+01      3.14     12.19       7687.6    378.88    236.07 4.18e-01     255.55     12.59  -9999.  -9999.  -9999.   -76.8366    39.0939  -9999.  -9999.  -9999.
1140.49  -9999.    240.35 6.47e+01      3.14     12.21       7695.2    378.47    235.91 4.12e-01     255.56     12.60  -9999.  -9999.  -9999.   -76.8364    39.0940  -9999.  -9999.  -9999.
1141.49  -9999.    240.30 6.41e+01      3.14     12.23       7702.6    378.07    235.77 4.07e-01     255.60     12.63  -9999.  -9999.  -9999.   -76.8363    39.0940  -9999.  -9999.  -9999.
1142.49  -9999.    240.24 6.38e+01      3.13     12.26       7710.0    377.68    235.68 4.04e-01     255.67     12.65  -9999.  -9999.  -9999.   -76.8362    39.0940  -9999.  -9999.  -9999.
1143.49  -9999.    240.19 6.37e+01      3.12     12.29       7717.7    377.26    235.60 4.01e-01     255.76     12.68  -9999.  -9999.  -9999.   -76.8361    39.0941  -9999.  -9999.  -9999.
1144.49  -9999.    240.13 6.33e+01      3.10     12.33       7725.8    376.83    235.50 3.97e-01     255.87     12.71  -9999.  -9999.  -9999.   -76.8359    39.0941  -9999.  -9999.  -9999.
1145.49  -9999.    240.09 6.26e+01      3.08     12.37       7733.8    376.40    235.35 3.92e-01     256.01     12.75  -9999.  -9999.  -9999.   -76.8358    39.0941  -9999.  -9999.  -9999.
1146.49  -9999.    240.07 6.16e+01      3.05     12.42       7741.6    375.98    235.17 3.85e-01     256.18     12.79  -9999.  -9999.  -9999.   -76.8356    39.0941  -9999.  -9999.  -9999.
1147.49  -9999.    240.07 6.07e+01      3.02     12.47       7749.0    375.59    235.01 3.79e-01     256.38     12.83  -9999.  -9999.  -9999.   -76.8355    39.0942  -9999.  -9999.  -9999.
1148.49  -9999.    240.05 6.01e+01      2.98     12.53       7755.9    375.22    234.90 3.76e-01     256.60     12.88  -9999.  -9999.  -9999.   -76.8353    39.0942  -9999.  -9999.  -9999.
1149.49  -9999.    240.03 5.99e+01      2.94     12.59       7762.4    374.87    234.84 3.74e-01     256.84     12.93  -9999.  -9999.  -9999.   -76.8351    39.0942  -9999.  -9999.  -9999.
1150.49  -9999.    240.00 5.99e+01      2.90     12.66       7768.6    374.54    234.81 3.73e-01     257.11     12.99  -9999.  -9999.  -9999.   -76.8350    39.0943  -9999.  -9999.  -9999.
1151.49  -9999.    239.97 5.98e+01      2.85     12.74       7775.0    374.20    234.77 3.72e-01     257.38     13.06  -9999.  -9999.  -9999.   -76.8349    39.0944  -9999.  -9999.  -9999.
