Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  25.81  -9999.    273.71    46.65      3.46      1.70        208.1   1003.45    263.61     1.84     206.21      3.86 1  -9999.  -9999.   -76.8751    39.0569  -9999.  -9999.  -9999.
  26.81  -9999.    273.77    46.07      3.50      1.64        214.8   1002.67    263.50     1.83     205.17      3.86 1  -9999.  -9999.   -76.8751    39.0569  -9999.  -9999.  -9999.
  27.81  -9999.    273.79    45.98      3.53      1.58        220.3   1001.89    263.49     1.83     204.18      3.87 1  -9999.  -9999.   -76.8751    39.0569  -9999.  -9999.  -9999.
  28.81  -9999.    273.80    45.87      3.55      1.53        226.3   1001.12    263.47     1.83     203.23      3.87 1  -9999.  -9999.   -76.8751    39.0570  -9999.  -9999.  -9999.
  29.81  -9999.    273.81    45.42      3.57      1.47        232.3   1000.35    263.36     1.81     202.31      3.86 1  -9999.  -9999.   -76.8751    39.0570  -9999.  -9999.  -9999.
  30.81  -9999.    273.81    44.72      3.58      1.41        238.8    999.58    263.16     1.79     201.45      3.85 1  -9999.  -9999.   -76.8750    39.0571  -9999.  -9999.  -9999.
  31.81  -9999.    273.81    43.99      3.59      1.35        245.4    998.82    262.95     1.76     200.62      3.84 1  -9999.  -9999.   -76.8750    39.0571  -9999.  -9999.  -9999.
  32.81  -9999.    273.80    44.17      3.59      1.30        251.4    998.06    263.00     1.77     199.82      3.82 1  -9999.  -9999.   -76.8750    39.0572  -9999.  -9999.  -9999.
  33.81  -9999.    273.79    44.97      3.59      1.24        257.4    997.30    263.21     1.80     199.06      3.80 1  -9999.  -9999.   -76.8749    39.0572  -9999.  -9999.  -9999.
  34.81  -9999.    273.77    45.68      3.59      1.19        262.9    996.55    263.39     1.83     198.32      3.78 1  -9999.  -9999.   -76.8749    39.0572  -9999.  -9999.  -9999.
  35.81  -9999.    273.72    46.23      3.58      1.13        268.4    995.80    263.50     1.84     197.60      3.75 1  -9999.  -9999.   -76.8749    39.0573  -9999.  -9999.  -9999.
  36.81  -9999.    273.66    46.72      3.56      1.08        275.3    995.05    263.58     1.86     196.92      3.72 1  -9999.  -9999.   -76.8750    39.0573  -9999.  -9999.  -9999.
  37.81  -9999.    273.60    47.17      3.54      1.03        281.8    994.30    263.64     1.87     196.26      3.69 1  -9999.  -9999.   -76.8750    39.0573  -9999.  -9999.  -9999.
  38.81  -9999.    273.54    47.27      3.52      0.99        288.1    993.55    263.62     1.86     195.63      3.66 1  -9999.  -9999.   -76.8750    39.0573  -9999.  -9999.  -9999.
  39.81  -9999.    273.50    47.05      3.50      0.94        293.3    992.80    263.51     1.85     195.02      3.62 1  -9999.  -9999.   -76.8749    39.0573  -9999.  -9999.  -9999.
  40.81  -9999.    273.45    46.84      3.47      0.89        299.1    992.05    263.42     1.84     194.41      3.58 1  -9999.  -9999.   -76.8749    39.0574  -9999.  -9999.  -9999.
  41.81  -9999.    273.41    46.79      3.44      0.85        304.5    991.30    263.36     1.83     193.80      3.54 1  -9999.  -9999.   -76.8749    39.0574  -9999.  -9999.  -9999.
  42.81  -9999.    273.36    46.80      3.41      0.80        310.6    990.54    263.33     1.83     193.20      3.51 1  -9999.  -9999.   -76.8749    39.0574  -9999.  -9999.  -9999.
  43.81  -9999.    273.32    46.75      3.38      0.76        317.9    989.78    263.27     1.82     192.59      3.47 1  -9999.  -9999.   -76.8749    39.0575  -9999.  -9999.  -9999.
  44.81  -9999.    273.27    46.59      3.35      0.71        324.9    989.02    263.18     1.81     191.97      3.43 1  -9999.  -9999.   -76.8749    39.0575  -9999.  -9999.  -9999.
  45.81  -9999.    273.23    46.34      3.32      0.67        331.3    988.27    263.08     1.80     191.33      3.39 1  -9999.  -9999.   -76.8749    39.0576  -9999.  -9999.  -9999.
  46.81  -9999.    273.18    46.19      3.29      0.62        336.8    987.54    262.99     1.79     190.68      3.35 1  -9999.  -9999.   -76.8748    39.0576  -9999.  -9999.  -9999.
  47.81  -9999.    273.13    46.34      3.26      0.58        342.4    986.81    262.99     1.79     190.02      3.31 1  -9999.  -9999.   -76.8748    39.0576  -9999.  -9999.  -9999.
  48.81  -9999.    273.09    46.66      3.22      0.53        346.3    986.08    263.03     1.79     189.35      3.27 1  -9999.  -9999.   -76.8748    39.0576  -9999.  -9999.  -9999.
  49.81  -9999.    273.04    46.86      3.19      0.49        352.3    985.35    263.05     1.80     188.68      3.22 1  -9999.  -9999.   -76.8748    39.0576  -9999.  -9999.  -9999.
  50.81  -9999.    273.01    46.77      3.15      0.44        359.0    984.61    262.99     1.79     188.01      3.18 1  -9999.  -9999.   -76.8748    39.0577  -9999.  -9999.  -9999.
