Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
 280.81  -9999.    275.33    28.20      4.76      2.41       1809.5    822.34    258.79     1.53     206.84      5.34 1  -9999.  -9999.   -76.8712    39.0667  -9999.  -9999.  -9999.
 281.81  -9999.    275.34    28.82      4.79      2.39       1815.2    821.67    259.06     1.56     206.47      5.35 1  -9999.  -9999.   -76.8712    39.0667  -9999.  -9999.  -9999.
 282.81  -9999.    275.32    29.71      4.82      2.36       1823.0    821.01    259.42     1.61     206.09      5.37 1  -9999.  -9999.   -76.8712    39.0667  -9999.  -9999.  -9999.
 283.81  -9999.    275.31    30.83      4.85      2.33       1830.1    820.36    259.86     1.67     205.69      5.38 1  -9999.  -9999.   -76.8712    39.0668  -9999.  -9999.  -9999.
 284.81  -9999.    275.30    31.51      4.88      2.31       1836.5    819.72    260.12     1.71     205.28      5.40 1  -9999.  -9999.   -76.8711    39.0668  -9999.  -9999.  -9999.
 285.81  -9999.    275.29    31.59      4.91      2.27       1841.6    819.10    260.14     1.71     204.85      5.41 1  -9999.  -9999.   -76.8711    39.0669  -9999.  -9999.  -9999.
 286.81  -9999.    275.28    31.52      4.95      2.24       1847.6    818.49    260.11     1.71     204.40      5.43 1  -9999.  -9999.   -76.8711    39.0669  -9999.  -9999.  -9999.
 287.81  -9999.    275.30    31.35      4.98      2.21       1853.1    817.88    260.06     1.70     203.93      5.45 1  -9999.  -9999.   -76.8710    39.0670  -9999.  -9999.  -9999.
 288.81  -9999.    275.34    31.38      5.02      2.18       1858.5    817.28    260.11     1.71     203.46      5.47 1  -9999.  -9999.   -76.8710    39.0670  -9999.  -9999.  -9999.
 289.81  -9999.    275.40    31.87      5.06      2.14       1863.5    816.66    260.35     1.75     202.97      5.49 1  -9999.  -9999.   -76.8710    39.0671  -9999.  -9999.  -9999.
 290.81  -9999.    275.45    32.34      5.10      2.11       1870.7    816.04    260.57     1.78     202.48      5.52 1  -9999.  -9999.   -76.8710    39.0671  -9999.  -9999.  -9999.
 291.81  -9999.    275.46    32.57      5.14      2.08       1878.0    815.41    260.68     1.80     201.98      5.55 1  -9999.  -9999.   -76.8710    39.0671  -9999.  -9999.  -9999.
 292.81  -9999.    275.47    32.69      5.19      2.04       1884.2    814.77    260.73     1.81     201.46      5.57 1  -9999.  -9999.   -76.8710    39.0671  -9999.  -9999.  -9999.
 293.81  -9999.    275.48    32.70      5.23      2.00       1890.9    814.12    260.74     1.81     200.93      5.60 1  -9999.  -9999.   -76.8710    39.0672  -9999.  -9999.  -9999.
 294.81  -9999.    275.48    32.64      5.28      1.96       1896.6    813.48    260.72     1.81     200.36      5.63 1  -9999.  -9999.   -76.8709    39.0672  -9999.  -9999.  -9999.
 295.81  -9999.    275.48    32.61      5.33      1.92       1901.9    812.82    260.70     1.81     199.77      5.67 1  -9999.  -9999.   -76.8709    39.0673  -9999.  -9999.  -9999.
 296.81  -9999.    275.47    32.52      5.38      1.87       1909.0    812.16    260.66     1.80     199.16      5.70 1  -9999.  -9999.   -76.8709    39.0673  -9999.  -9999.  -9999.
 297.81  -9999.    275.44    32.30      5.43      1.82       1917.0    811.50    260.56     1.79     198.53      5.73 1  -9999.  -9999.   -76.8708    39.0674  -9999.  -9999.  -9999.
 298.81  -9999.    275.42    32.18      5.48      1.77       1923.5    810.83    260.49     1.78     197.89      5.76 1  -9999.  -9999.   -76.8708    39.0674  -9999.  -9999.  -9999.
 299.81  -9999.    275.41    32.15      5.53      1.72       1929.8    810.17    260.47     1.78     197.23      5.79 1  -9999.  -9999.   -76.8707    39.0675  -9999.  -9999.  -9999.
 300.81  -9999.    275.39    32.20      5.58      1.66       1935.9    809.51    260.47     1.78     196.54      5.82 1  -9999.  -9999.   -76.8707    39.0675  -9999.  -9999.  -9999.
 301.81  -9999.    275.38    32.22      5.63      1.60       1943.2    808.84    260.47     1.78     195.84      5.85 1  -9999.  -9999.   -76.8707    39.0676  -9999.  -9999.  -9999.
 302.81  -9999.    275.39    32.02      5.67      1.53       1950.1    808.19    260.40     1.77     195.10      5.88 1  -9999.  -9999.   -76.8707    39.0676  -9999.  -9999.  -9999.
 303.81  -9999.    275.39    31.49      5.71      1.46       1955.8    807.53    260.20     1.75     194.33      5.90 1  -9999.  -9999.   -76.8707    39.0677  -9999.  -9999.  -9999.
 304.81  -9999.    275.39    30.80      5.75      1.38       1962.1    806.87    259.92     1.71     193.53      5.92 1  -9999.  -9999.   -76.8707    39.0678  -9999.  -9999.  -9999.
 305.81  -9999.    275.37    31.04      5.79      1.30       1969.0    806.22    260.00     1.72     192.69      5.93 1  -9999.  -9999.   -76.8707    39.0679  -9999.  -9999.  -9999.
 306.81  -9999.    275.34    31.69      5.82      1.22       1975.4    805.56    260.23     1.75     191.83      5.94 1  -9999.  -9999.   -76.8707    39.0679  -9999.  -9999.  -9999.
 307.81  -9999.    275.30    31.65      5.84      1.13       1982.6    804.90    260.18     1.75     190.95      5.95 1  -9999.  -9999.   -76.8707    39.0680  -9999.  -9999.  -9999.
 308.81  -9999.    275.27    30.74      5.87      1.04       1989.3    804.25    259.79     1.70     190.05      5.96 1  -9999.  -9999.   -76.8706    39.0680  -9999.  -9999.  -9999.
 309.81  -9999.    275.24    29.15      5.88      0.95       1995.5    803.60    259.11     1.61     189.14      5.96 1  -9999.  -9999.   -76.8706    39.0681  -9999.  -9999.  -9999.
 310.81  -9999.    275.22    27.22      5.90      0.85       2002.2    802.96    258.26     1.50     188.21      5.96 1  -9999.  -9999.   -76.8706    39.0681  -9999.  -9999.  -9999.
 311.81  -9999.    275.19    25.47      5.90      0.75       2008.5    802.33    257.44     1.40     187.28      5.95 1  -9999.  -9999.   -76.8706    39.0682  -9999.  -9999.  -9999.
 312.81  -9999.    275.17    24.12      5.91      0.66       2015.0    801.70    256.76     1.32     186.33      5.95 1  -9999.  -9999.   -76.8705    39.0682  -9999.  -9999.  -9999.
 313.81  -9999.    275.14    22.94      5.91      0.56       2020.5    801.09    256.13     1.26     185.39      5.94 1  -9999.  -9999.   -76.8705    39.0683  -9999.  -9999.  -9999.
 314.81  -9999.    275.11    21.63      5.91      0.46       2027.3    800.48    255.41     1.18     184.45      5.92 1  -9999.  -9999.   -76.8705    39.0683  -9999.  -9999.  -9999.
 315.81  -9999.    275.08    19.90      5.90      0.36       2033.6    799.87    254.40     1.09     183.51      5.91 1  -9999.  -9999.   -76.8705    39.0684  -9999.  -9999.  -9999.
 316.81  -9999.    275.06    17.94      5.89      0.27       2038.7    799.27    253.18     0.98     182.58      5.90 1  -9999.  -9999.   -76.8705    39.0684  -9999.  -9999.  -9999.
 317.81  -9999.    275.07    16.46      5.88      0.17       2043.9    798.67    252.18     0.90     181.67      5.88 1  -9999.  -9999.   -76.8705    39.0685  -9999.  -9999.  -9999.
 318.81  -9999.    275.06    16.65      5.86      0.08       2050.3    798.06    252.32     0.91     180.78      5.86 1  -9999.  -9999.   -76.8705    39.0685  -9999.  -9999.  -9999.
 319.81  -9999.    275.05    19.21      5.84     -0.01       2056.8    797.44    253.96     1.05     179.93      5.84 1  -9999.  -9999.   -76.8705    39.0686  -9999.  -9999.  -9999.
 320.81  -9999.    275.02    23.99      5.82     -0.09       2064.3    796.82    256.57     1.31     179.13      5.83 1  -9999.  -9999.   -76.8705    39.0686  -9999.  -9999.  -9999.
 321.81  -9999.    274.97    27.94      5.80     -0.16       2070.5    796.20    258.36     1.52     178.38      5.81 1  -9999.  -9999.   -76.8706    39.0687  -9999.  -9999.  -9999.
 322.81  -9999.    274.92    28.95      5.78     -0.23       2076.3    795.57    258.75     1.57     177.69      5.79 1  -9999.  -9999.   -76.8706    39.0688  -9999.  -9999.  -9999.
 323.81  -9999.    274.88    28.30      5.76     -0.30       2082.9    794.95    258.44     1.54     177.05      5.77 1  -9999.  -9999.   -76.8706    39.0688  -9999.  -9999.  -9999.
 324.81  -9999.    274.85    27.94      5.74     -0.35       2088.1    794.32    258.25     1.51     176.47      5.75 1  -9999.  -9999.   -76.8706    39.0689  -9999.  -9999.  -9999.
 325.81  -9999.    274.81    28.49      5.72     -0.41       2094.7    793.70    258.46     1.54     175.95      5.73 1  -9999.  -9999.   -76.8706    39.0689  -9999.  -9999.  -9999.
 326.81  -9999.    274.77    30.17      5.70     -0.45       2102.1    793.07    259.12     1.63     175.48      5.71 1  -9999.  -9999.   -76.8706    39.0690  -9999.  -9999.  -9999.
 327.81  -9999.    274.72    32.29      5.68     -0.49       2108.0    792.44    259.91     1.74     175.09      5.70 1  -9999.  -9999.   -76.8706    39.0690  -9999.  -9999.  -9999.
 328.81  -9999.    274.67    33.60      5.66     -0.52       2114.3    791.81    260.36     1.80     174.77      5.68 1  -9999.  -9999.   -76.8706    39.0691  -9999.  -9999.  -9999.
 329.81  -9999.    274.62    33.85      5.64     -0.54       2121.2    791.19    260.41     1.81     174.53      5.66 1  -9999.  -9999.   -76.8706    39.0691  -9999.  -9999.  -9999.
 330.81  -9999.    274.57    33.75      5.62     -0.55       2127.5    790.56    260.33     1.80     174.36      5.65 1  -9999.  -9999.   -76.8706    39.0692  -9999.  -9999.  -9999.
 331.81  -9999.    274.53    33.73      5.61     -0.56       2133.3    789.94    260.28     1.80     174.27      5.63 1  -9999.  -9999.   -76.8706    39.0692  -9999.  -9999.  -9999.
 332.81  -9999.    274.49    33.75      5.59     -0.56       2139.1    789.32    260.25     1.79     174.25      5.62 1  -9999.  -9999.   -76.8706    39.0693  -9999.  -9999.  -9999.
 333.81  -9999.    274.46    33.70      5.58     -0.56       2146.5    788.69    260.20     1.79     174.30      5.61 1  -9999.  -9999.   -76.8706    39.0693  -9999.  -9999.  -9999.
 334.81  -9999.    274.42    33.54      5.57     -0.54       2152.7    788.07    260.12     1.78     174.42      5.60 1  -9999.  -9999.   -76.8706    39.0693  -9999.  -9999.  -9999.
 335.81  -9999.    274.41    33.23      5.56     -0.53       2158.4    787.45    259.99     1.76     174.61      5.59 1  -9999.  -9999.   -76.8707    39.0694  -9999.  -9999.  -9999.
 336.81  -9999.    274.42    32.86      5.56     -0.50       2165.5    786.82    259.86     1.74     174.85      5.58 1  -9999.  -9999.   -76.8707    39.0694  -9999.  -9999.  -9999.
 337.81  -9999.    274.43    32.59      5.55     -0.47       2171.9    786.20    259.77     1.73     175.15      5.57 1  -9999.  -9999.   -76.8707    39.0695  -9999.  -9999.  -9999.
 338.81  -9999.    274.43    32.42      5.55     -0.44       2178.0    785.59    259.71     1.72     175.50      5.57 1  -9999.  -9999.   -76.8707    39.0696  -9999.  -9999.  -9999.
 339.81  -9999.    274.44    32.29      5.56     -0.40       2184.0    784.97    259.66     1.72     175.88      5.57 1  -9999.  -9999.   -76.8707    39.0696  -9999.  -9999.  -9999.
 340.81  -9999.    274.44    32.12      5.56     -0.36       2190.3    784.36    259.60     1.71     176.31      5.58 1  -9999.  -9999.   -76.8707    39.0697  -9999.  -9999.  -9999.
 341.81  -9999.    274.43    32.01      5.57     -0.32       2197.0    783.75    259.55     1.71     176.76      5.58 1  -9999.  -9999.   -76.8707    39.0697  -9999.  -9999.  -9999.
 342.81  -9999.    274.42    32.04      5.58     -0.27       2203.6    783.15    259.55     1.71     177.25      5.59 1  -9999.  -9999.   -76.8707    39.0697  -9999.  -9999.  -9999.
 343.81  -9999.    274.41    32.04      5.60     -0.22       2209.1    782.54    259.54     1.71     177.77      5.60 1  -9999.  -9999.   -76.8707    39.0698  -9999.  -9999.  -9999.
 344.81  -9999.    274.40    32.01      5.61     -0.16       2214.5    781.93    259.52     1.71     178.32      5.61 1  -9999.  -9999.   -76.8707    39.0699  -9999.  -9999.  -9999.
 345.81  -9999.    274.37    32.04      5.63     -0.11       2221.3    781.32    259.51     1.71     178.89      5.63 1  -9999.  -9999.   -76.8707    39.0699  -9999.  -9999.  -9999.
 346.81  -9999.    274.35    32.10      5.65     -0.05       2227.6    780.70    259.52     1.71     179.49      5.65 1  -9999.  -9999.   -76.8707    39.0700  -9999.  -9999.  -9999.
 347.81  -9999.    274.35    32.23      5.67      0.01       2235.0    780.07    259.56     1.72     180.10      5.67 1  -9999.  -9999.   -76.8707    39.0700  -9999.  -9999.  -9999.
 348.81  -9999.    274.34    32.41      5.70      0.07       2240.8    779.44    259.63     1.73     180.72      5.70 1  -9999.  -9999.   -76.8708    39.0701  -9999.  -9999.  -9999.
 349.81  -9999.    274.32    32.55      5.72      0.13       2246.9    778.80    259.66     1.73     181.35      5.72 1  -9999.  -9999.   -76.8708    39.0701  -9999.  -9999.  -9999.
 350.81  -9999.    274.29    32.65      5.75      0.20       2254.5    778.17    259.67     1.74     181.98      5.75 1  -9999.  -9999.   -76.8708    39.0702  -9999.  -9999.  -9999.
 351.81  -9999.    274.28    32.67      5.77      0.26       2261.2    777.53    259.66     1.74     182.61      5.78 1  -9999.  -9999.   -76.8707    39.0702  -9999.  -9999.  -9999.
 352.81  -9999.    274.28    32.60      5.80      0.33       2267.5    776.90    259.64     1.73     183.25      5.81 1  -9999.  -9999.   -76.8707    39.0702  -9999.  -9999.  -9999.
 353.81  -9999.    274.28    32.54      5.83      0.40       2274.0    776.27    259.61     1.73     183.91      5.84 1  -9999.  -9999.   -76.8707    39.0703  -9999.  -9999.  -9999.
 354.81  -9999.    274.25    32.52      5.85      0.47       2280.2    775.64    259.58     1.73     184.57      5.87 1  -9999.  -9999.   -76.8707    39.0703  -9999.  -9999.  -9999.
 355.81  -9999.    274.24    32.52      5.88      0.54       2286.4    775.02    259.57     1.73     185.25      5.90 1  -9999.  -9999.   -76.8707    39.0704  -9999.  -9999.  -9999.
 356.81  -9999.    274.22    32.45      5.90      0.61       2293.7    774.40    259.53     1.72     185.94      5.94 1  -9999.  -9999.   -76.8707    39.0704  -9999.  -9999.  -9999.
 357.81  -9999.    274.20    32.34      5.93      0.69       2299.6    773.79    259.47     1.72     186.63      5.97 1  -9999.  -9999.   -76.8707    39.0705  -9999.  -9999.  -9999.
 358.81  -9999.    274.18    32.49      5.95      0.77       2306.8    773.18    259.51     1.72     187.34      6.00 1  -9999.  -9999.   -76.8707    39.0706  -9999.  -9999.  -9999.
 359.81  -9999.    274.17    32.95      5.97      0.85       2312.6    772.58    259.67     1.75     188.06      6.03 1  -9999.  -9999.   -76.8707    39.0706  -9999.  -9999.  -9999.
 360.81  -9999.    274.15    33.51      5.99      0.93       2317.6    771.98    259.86     1.78     188.79      6.06 1  -9999.  -9999.   -76.8707    39.0707  -9999.  -9999.  -9999.
 361.81  -9999.    274.13    33.98      6.01      1.01       2323.7    771.37    260.02     1.80     189.52      6.10 1  -9999.  -9999.   -76.8706    39.0708  -9999.  -9999.  -9999.
 362.81  -9999.    274.11    34.18      6.03      1.09       2331.5    770.76    260.07     1.81     190.26      6.13 1  -9999.  -9999.   -76.8706    39.0708  -9999.  -9999.  -9999.
 363.81  -9999.    274.10    34.17      6.04      1.18       2336.9    770.15    260.05     1.81     191.02      6.16 1  -9999.  -9999.   -76.8706    39.0709  -9999.  -9999.  -9999.
 364.81  -9999.    274.07    34.21      6.06      1.26       2343.6    769.53    260.05     1.81     191.78      6.19 1  -9999.  -9999.   -76.8706    39.0709  -9999.  -9999.  -9999.
 365.81  -9999.    274.03    34.28      6.07      1.35       2349.8    768.90    260.03     1.81     192.55      6.22 1  -9999.  -9999.   -76.8706    39.0710  -9999.  -9999.  -9999.
 366.81  -9999.    273.98    34.33      6.08      1.44       2357.2    768.26    260.01     1.81     193.32      6.25 1  -9999.  -9999.   -76.8706    39.0710  -9999.  -9999.  -9999.
 367.81  -9999.    273.93    34.46      6.09      1.53       2363.7    767.63    260.01     1.81     194.08      6.27 1  -9999.  -9999.   -76.8706    39.0711  -9999.  -9999.  -9999.
 368.81  -9999.    273.89    34.66      6.09      1.61       2370.5    766.99    260.05     1.82     194.84      6.30 1  -9999.  -9999.   -76.8706    39.0712  -9999.  -9999.  -9999.
 369.81  -9999.    273.84    34.89      6.10      1.70       2377.2    766.35    260.08     1.82     195.57      6.33 1  -9999.  -9999.   -76.8705    39.0712  -9999.  -9999.  -9999.
 370.81  -9999.    273.79    35.08      6.10      1.78       2384.0    765.71    260.11     1.83     196.28      6.36 1  -9999.  -9999.   -76.8705    39.0713  -9999.  -9999.  -9999.
 371.81  -9999.    273.73    35.25      6.11      1.86       2390.4    765.07    260.12     1.83     196.95      6.38 1  -9999.  -9999.   -76.8705    39.0713  -9999.  -9999.  -9999.
 372.81  -9999.    273.68    35.42      6.11      1.94       2397.6    764.44    260.13     1.83     197.60      6.41 1  -9999.  -9999.   -76.8705    39.0714  -9999.  -9999.  -9999.
 373.81  -9999.    273.64    35.57      6.11      2.01       2403.6    763.82    260.14     1.84     198.22      6.43 1  -9999.  -9999.   -76.8705    39.0714  -9999.  -9999.  -9999.
 374.81  -9999.    273.59    35.64      6.11      2.08       2410.7    763.20    260.13     1.84     198.82      6.46 1  -9999.  -9999.   -76.8705    39.0715  -9999.  -9999.  -9999.
 375.81  -9999.    273.55    35.66      6.11      2.15       2417.0    762.58    260.09     1.83     199.38      6.48 1  -9999.  -9999.   -76.8704    39.0715  -9999.  -9999.  -9999.
 376.81  -9999.    273.52    35.71      6.11      2.21       2423.7    761.98    260.08     1.83     199.92      6.50 1  -9999.  -9999.   -76.8704    39.0716  -9999.  -9999.  -9999.
 377.81  -9999.    273.50    35.75      6.11      2.27       2429.9    761.39    260.08     1.83     200.41      6.52 1  -9999.  -9999.   -76.8703    39.0716  -9999.  -9999.  -9999.
 378.81  -9999.    273.50    35.77      6.10      2.32       2435.2    760.80    260.09     1.84     200.86      6.53 1  -9999.  -9999.   -76.8703    39.0717  -9999.  -9999.  -9999.
 379.81  -9999.    273.48    35.92      6.09      2.37       2441.1    760.22    260.12     1.84     201.26      6.54 1  -9999.  -9999.   -76.8702    39.0718  -9999.  -9999.  -9999.
 380.81  -9999.    273.44    36.27      6.09      2.41       2447.7    759.63    260.21     1.86     201.60      6.55 1  -9999.  -9999.   -76.8702    39.0718  -9999.  -9999.  -9999.
 381.81  -9999.    273.40    36.74      6.08      2.44       2453.9    759.04    260.33     1.88     201.90      6.55 1  -9999.  -9999.   -76.8701    39.0719  -9999.  -9999.  -9999.
 382.81  -9999.    273.38    37.09      6.07      2.47       2460.3    758.45    260.43     1.89     202.16      6.55 1  -9999.  -9999.   -76.8701    39.0719  -9999.  -9999.  -9999.
 383.81  -9999.    273.37    37.05      6.05      2.49       2465.5    757.86    260.41     1.89     202.38      6.55 1  -9999.  -9999.   -76.8701    39.0720  -9999.  -9999.  -9999.
 384.81  -9999.    273.35    36.79      6.03      2.51       2472.4    757.25    260.30     1.88     202.57      6.54 1  -9999.  -9999.   -76.8701    39.0720  -9999.  -9999.  -9999.
 385.81  -9999.    273.32    36.87      6.01      2.52       2478.8    756.64    260.30     1.88     202.72      6.52 1  -9999.  -9999.   -76.8700    39.0721  -9999.  -9999.  -9999.
 386.81  -9999.    273.30    37.16      5.99      2.52       2486.4    756.03    260.38     1.89     202.85      6.50 1  -9999.  -9999.   -76.8700    39.0722  -9999.  -9999.  -9999.
 387.81  -9999.    273.27    37.30      5.96      2.52       2492.3    755.41    260.39     1.90     202.94      6.47 1  -9999.  -9999.   -76.8700    39.0722  -9999.  -9999.  -9999.
 388.81  -9999.    273.24    37.27      5.93      2.52       2499.0    754.80    260.36     1.89     203.02      6.44 1  -9999.  -9999.   -76.8699    39.0723  -9999.  -9999.  -9999.
 389.81  -9999.    273.21    37.03      5.89      2.51       2505.3    754.18    260.25     1.88     203.06      6.40 1  -9999.  -9999.   -76.8699    39.0723  -9999.  -9999.  -9999.
 390.81  -9999.    273.17    36.65      5.85      2.49       2511.9    753.56    260.10     1.86     203.09      6.36 1  -9999.  -9999.   -76.8699    39.0724  -9999.  -9999.  -9999.
 391.81  -9999.    273.14    36.31      5.80      2.48       2518.1    752.95    259.95     1.84     203.10      6.31 1  -9999.  -9999.   -76.8699    39.0724  -9999.  -9999.  -9999.
 392.81  -9999.    273.11    36.03      5.75      2.45       2525.1    752.33    259.83     1.82     203.10      6.25 1  -9999.  -9999.   -76.8699    39.0725  -9999.  -9999.  -9999.
 393.81  -9999.    273.08    35.70      5.70      2.43       2532.4    751.71    259.69     1.80     203.08      6.20 1  -9999.  -9999.   -76.8698    39.0725  -9999.  -9999.  -9999.
 394.81  -9999.    273.07    35.21      5.64      2.40       2538.2    751.09    259.51     1.78     203.06      6.13 1  -9999.  -9999.   -76.8698    39.0726  -9999.  -9999.  -9999.
 395.81  -9999.    273.09    34.86      5.58      2.37       2544.0    750.47    259.40     1.76     203.03      6.06 1  -9999.  -9999.   -76.8697    39.0727  -9999.  -9999.  -9999.
 396.81  -9999.    273.08    34.86      5.51      2.34       2551.3    749.85    259.40     1.76     203.02      5.99 1  -9999.  -9999.   -76.8697    39.0727  -9999.  -9999.  -9999.
 397.81  -9999.    273.06    34.98      5.44      2.31       2558.2    749.23    259.42     1.77     203.00      5.91 1  -9999.  -9999.   -76.8697    39.0728  -9999.  -9999.  -9999.
 398.81  -9999.    273.02    35.04      5.36      2.28       2565.5    748.61    259.40     1.77     202.98      5.83 1  -9999.  -9999.   -76.8696    39.0728  -9999.  -9999.  -9999.
 399.81  -9999.    272.98    34.97      5.29      2.24       2571.5    747.99    259.34     1.76     202.96      5.74 1  -9999.  -9999.   -76.8696    39.0729  -9999.  -9999.  -9999.
 400.81  -9999.    272.95    34.74      5.20      2.20       2577.5    747.37    259.24     1.74     202.95      5.65 1  -9999.  -9999.   -76.8696    39.0729  -9999.  -9999.  -9999.
 401.81  -9999.    272.93    34.42      5.12      2.17       2584.6    746.75    259.11     1.73     202.94      5.56 1  -9999.  -9999.   -76.8696    39.0730  -9999.  -9999.  -9999.
 402.81  -9999.    272.89    34.26      5.03      2.13       2591.8    746.14    259.02     1.72     202.93      5.47 1  -9999.  -9999.   -76.8696    39.0730  -9999.  -9999.  -9999.
 403.81  -9999.    272.86    34.17      4.95      2.09       2597.3    745.53    258.95     1.71     202.92      5.37 1  -9999.  -9999.   -76.8696    39.0731  -9999.  -9999.  -9999.
 404.81  -9999.    272.83    33.99      4.86      2.05       2605.4    744.92    258.86     1.70     202.90      5.28 1  -9999.  -9999.   -76.8695    39.0731  -9999.  -9999.  -9999.
 405.81  -9999.    272.79    33.80      4.77      2.01       2611.1    744.32    258.76     1.68     202.87      5.18 1  -9999.  -9999.   -76.8695    39.0731  -9999.  -9999.  -9999.
 406.81  -9999.    272.75    33.68      4.69      1.97       2617.1    743.72    258.68     1.68     202.84      5.08 1  -9999.  -9999.   -76.8695    39.0732  -9999.  -9999.  -9999.
 407.81  -9999.    272.73    33.67      4.60      1.93       2622.9    743.12    258.66     1.67     202.79      4.99 1  -9999.  -9999.   -76.8694    39.0732  -9999.  -9999.  -9999.
 408.81  -9999.    272.71    33.71      4.51      1.89       2629.4    742.53    258.65     1.67     202.73      4.89 1  -9999.  -9999.   -76.8694    39.0733  -9999.  -9999.  -9999.
 409.81  -9999.    272.68    33.77      4.42      1.85       2636.8    741.93    258.65     1.68     202.66      4.79 1  -9999.  -9999.   -76.8694    39.0733  -9999.  -9999.  -9999.
 410.81  -9999.    272.66    33.82      4.34      1.80       2643.4    741.33    258.65     1.68     202.58      4.70 1  -9999.  -9999.   -76.8694    39.0733  -9999.  -9999.  -9999.
 411.81  -9999.    272.63    33.74      4.26      1.76       2649.6    740.73    258.60     1.67     202.48      4.61 1  -9999.  -9999.   -76.8694    39.0734  -9999.  -9999.  -9999.
 412.81  -9999.    272.61    33.59      4.18      1.72       2655.6    740.14    258.53     1.66     202.36      4.52 1  -9999.  -9999.   -76.8693    39.0734  -9999.  -9999.  -9999.
 413.81  -9999.    272.60    33.50      4.10      1.68       2661.6    739.54    258.49     1.66     202.22      4.43 1  -9999.  -9999.   -76.8693    39.0735  -9999.  -9999.  -9999.
 414.81  -9999.    272.60    33.59      4.03      1.63       2668.1    738.94    258.51     1.66     202.05      4.35 1  -9999.  -9999.   -76.8693    39.0735  -9999.  -9999.  -9999.
 415.81  -9999.    272.59    33.78      3.96      1.59       2675.1    738.34    258.57     1.67     201.84      4.27 1  -9999.  -9999.   -76.8693    39.0736  -9999.  -9999.  -9999.
 416.81  -9999.    272.57    33.82      3.90      1.54       2682.3    737.75    258.57     1.67     201.59      4.19 1  -9999.  -9999.   -76.8692    39.0736  -9999.  -9999.  -9999.
 417.81  -9999.    272.55    33.64      3.84      1.50       2688.8    737.15    258.49     1.66     201.31      4.12 1  -9999.  -9999.   -76.8692    39.0736  -9999.  -9999.  -9999.
 418.81  -9999.    272.54    33.46      3.78      1.45       2694.3    736.56    258.41     1.65     201.00      4.05 1  -9999.  -9999.   -76.8692    39.0736  -9999.  -9999.  -9999.
 419.81  -9999.    272.53    33.27      3.73      1.41       2699.8    735.96    258.34     1.65     200.66      3.98 1  -9999.  -9999.   -76.8692    39.0736  -9999.  -9999.  -9999.
 420.81  -9999.    272.52    33.14      3.68      1.36       2707.3    735.36    258.28     1.64     200.30      3.92 1  -9999.  -9999.   -76.8692    39.0737  -9999.  -9999.  -9999.
 421.81  -9999.    272.50    33.09      3.63      1.32       2713.6    734.75    258.25     1.64     199.93      3.86 1  -9999.  -9999.   -76.8692    39.0737  -9999.  -9999.  -9999.
 422.81  -9999.    272.50    33.00      3.59      1.28       2720.8    734.15    258.21     1.63     199.55      3.81 1  -9999.  -9999.   -76.8692    39.0737  -9999.  -9999.  -9999.
 423.81  -9999.    272.48    32.73      3.56      1.24       2727.6    733.54    258.09     1.62     199.16      3.77 1  -9999.  -9999.   -76.8692    39.0738  -9999.  -9999.  -9999.
 424.81  -9999.    272.46    32.47      3.53      1.20       2733.7    732.92    257.98     1.60     198.76      3.72 1  -9999.  -9999.   -76.8692    39.0738  -9999.  -9999.  -9999.
 425.81  -9999.    272.43    32.39      3.50      1.16       2740.3    732.31    257.92     1.60     198.35      3.69 1  -9999.  -9999.   -76.8691    39.0738  -9999.  -9999.  -9999.
 426.81  -9999.    272.40    32.38      3.47      1.12       2747.0    731.70    257.89     1.60     197.92      3.65 1  -9999.  -9999.   -76.8691    39.0739  -9999.  -9999.  -9999.
 427.81  -9999.    272.36    32.40      3.45      1.09       2754.1    731.09    257.87     1.59     197.48      3.62 1  -9999.  -9999.   -76.8691    39.0739  -9999.  -9999.  -9999.
 428.81  -9999.    272.32    32.34      3.44      1.05       2761.1    730.48    257.81     1.59     197.04      3.59 1  -9999.  -9999.   -76.8691    39.0739  -9999.  -9999.  -9999.
 429.81  -9999.    272.27    32.26      3.42      1.02       2768.2    729.87    257.74     1.58     196.62      3.57 1  -9999.  -9999.   -76.8691    39.0739  -9999.  -9999.  -9999.
 430.81  -9999.    272.23    32.28      3.41      0.99       2774.3    729.28    257.70     1.58     196.22      3.55 1  -9999.  -9999.   -76.8691    39.0740  -9999.  -9999.  -9999.
 431.81  -9999.    272.19    32.32      3.41      0.97       2779.9    728.69    257.68     1.57     195.86      3.54 1  -9999.  -9999.   -76.8691    39.0740  -9999.  -9999.  -9999.
